"","simulation","iteration","T1N","T1S","T2N","T2S","pval","Simulation","numsig","numsig2"
"400",6,61,61,18,61,21,0.697813109574813,"6",0,0
"401",6,62,62,18,62,22,0.564400012203478,"6",0,0
"402",6,63,63,19,63,23,0.570750388058174,"6",0,0
"403",6,64,64,20,64,23,0.708199427959753,"6",0,0
"404",6,65,65,20,65,24,0.578173591909194,"6",0,0
"405",6,66,66,20,66,24,0.579639271081656,"6",0,0
"406",6,67,67,20,67,24,0.581046761828747,"6",0,0
"407",6,68,68,21,68,24,0.715500361326955,"6",0,0
"408",6,69,69,21,69,24,0.716470499638918,"6",0,0
"409",6,70,70,21,70,25,0.589326780388454,"6",0,0
"410",6,71,71,22,71,25,0.721340800991362,"6",0,0
"411",6,72,72,22,72,25,0.722253767388958,"6",0,0
"412",6,73,73,23,73,25,0.860156941525049,"6",0,0
"413",6,74,74,23,74,26,0.726835943821679,"6",0,0
"414",6,75,75,23,75,26,0.727697133521599,"6",0,0
"415",6,76,76,23,76,27,0.604518015826637,"6",0,0
"416",6,77,77,23,77,28,0.493417490609942,"6",0,0
"417",6,78,78,23,78,28,0.494783861504341,"6",0,0
"418",6,79,79,23,79,29,0.397255417465785,"6",0,0
"419",6,80,80,23,80,29,0.398697641055641,"6",0,0
"420",6,81,81,23,81,30,0.315017736803907,"6",0,0
"421",6,82,82,23,82,30,0.316448306249254,"6",0,0
"422",6,83,83,23,83,30,0.317836311359683,"6",0,0
"423",6,84,84,23,84,30,0.319183623923534,"6",0,0
"424",6,85,85,23,85,31,0.248837028884867,"6",0,0
"425",6,86,86,24,86,32,0.254686164934892,"6",0,0
"426",6,87,87,24,87,33,0.196283239888475,"6",0,0
"427",6,88,88,25,88,33,0.261635603086735,"6",0,0
"428",6,89,89,26,89,33,0.339401556332044,"6",0,0
"429",6,90,90,26,90,34,0.268381627292761,"6",0,0
"430",6,91,91,27,91,35,0.273590483348526,"6",0,0
"431",6,92,92,27,92,35,0.274934169738484,"6",0,0
"432",6,93,93,27,93,35,0.276242409444738,"6",0,0
"433",6,94,94,27,94,35,0.27751658314821,"6",0,0
"434",6,95,95,27,95,35,0.278758001053074,"6",0,0
"435",6,96,96,27,96,36,0.218834607466121,"6",0,0
"436",6,97,97,27,97,36,0.219992119420212,"6",0,0
"437",6,98,98,27,98,36,0.221121812162492,"6",0,0
"438",6,99,99,27,99,37,0.171463327699824,"6",0,0
"439",6,100,100,27,100,37,0.172484840806544,"6",0,0
"440",7,1,1,0,1,1,1,"7",0,0
"441",7,2,2,1,2,1,1,"7",0,0
"442",7,3,3,2,3,1,1,"7",0,0
"443",7,4,4,2,4,2,1,"7",0,0
"444",7,5,5,2,5,2,1,"7",0,0
"445",7,6,6,2,6,2,1,"7",0,0
"446",7,7,7,2,7,3,1,"7",0,0
"447",7,8,8,2,8,3,1,"7",0,0
"448",7,9,9,2,9,4,0.617075077451974,"7",0,0
"449",7,10,10,2,10,4,0.625585231524325,"7",0,0
"450",7,11,11,2,11,4,0.632142422148543,"7",0,0
"451",7,12,12,3,12,4,1,"7",0,0
"452",7,13,13,3,13,5,0.670896238995094,"7",0,0
"453",7,14,14,3,14,6,0.418341089100227,"7",0,0
"454",7,15,15,3,15,7,0.245278116806773,"7",0,0
"455",7,16,16,3,16,7,0.252559317185168,"7",0,0
"456",7,17,17,3,17,7,0.258830774805668,"7",0,0
"457",7,18,18,3,18,7,0.264288345226028,"7",0,0
"458",7,19,19,4,19,8,0.295111726389574,"7",0,0
